datetime,lvl_cm,temp_C
2024-09-01 13:30:00,795.65,10.251
2024-09-01 14:00:00,795.62,10.16
2024-09-01 14:30:00,795.62,10.064
2024-09-01 15:00:00,795.59,9.969
2024-09-01 15:30:00,795.68,9.909
2024-09-01 16:00:00,795.69,9.867
2024-09-01 16:30:00,796.46,9.859
2024-09-01 17:00:00,796.53,9.883
2024-09-01 17:30:00,796.67,9.963
2024-09-01 18:00:00,796.58,9.989
2024-09-01 18:30:00,796.71,10.061
2024-09-01 19:00:00,796.75,10.328
2024-09-01 19:30:00,797.12,10.754
2024-09-01 20:00:00,796.34,11.149
2024-09-01 20:30:00,796.07,11.621
2024-09-01 21:00:00,796.08,12.17
2024-09-01 21:30:00,796.33,12.75
2024-09-01 22:00:00,796.37,13.247
2024-09-01 22:30:00,796.2,13.482
2024-09-01 23:00:00,795.98,13.709
2024-09-01 23:30:00,794.61,13.853
2024-09-02 00:00:00,794.18,13.844
2024-09-02 00:30:00,794.21,13.791
2024-09-02 01:00:00,794.18,13.646
2024-09-02 01:30:00,794.22,13.473
2024-09-02 02:00:00,794.2,13.286
2024-09-02 02:30:00,794.16,13.131
2024-09-02 03:00:00,794.14,12.954
2024-09-02 03:30:00,794.22,12.777
2024-09-02 04:00:00,794.33,12.616
2024-09-02 04:30:00,794.26,12.44
2024-09-02 05:00:00,794.3,12.286
2024-09-02 05:30:00,794.34,12.133
2024-09-02 06:00:00,794.29,11.978
2024-09-02 06:30:00,794.28,11.826
2024-09-02 07:00:00,794.59,11.675
2024-09-02 07:30:00,794.26,11.526
2024-09-02 08:00:00,793.96,11.384
2024-09-02 08:30:00,793.72,11.244
2024-09-02 09:00:00,793.79,11.093
2024-09-02 09:30:00,793.53,10.955
2024-09-02 10:00:00,793.25,10.823
2024-09-02 10:30:00,793.13,10.692
2024-09-02 11:00:00,792.99,10.571
2024-09-02 11:30:00,792.9,10.446
2024-09-02 12:00:00,792.74,10.338
2024-09-02 12:30:00,792.74,10.219
2024-09-02 13:00:00,792.77,10.119
2024-09-02 13:30:00,792.77,10.021
2024-09-02 14:00:00,792.96,9.932
2024-09-02 14:30:00,793.08,9.864
2024-09-02 15:00:00,793.14,9.809
2024-09-02 15:30:00,793.26,9.779
2024-09-02 16:00:00,793.32,9.778
2024-09-02 16:30:00,793.47,9.796
2024-09-02 17:00:00,793.7,9.893
2024-09-02 17:30:00,793.89,10.018
2024-09-02 18:00:00,793.98,10.103
2024-09-02 18:30:00,794.15,10.202
2024-09-02 19:00:00,794.33,10.509
2024-09-02 19:30:00,794.36,10.837
2024-09-02 20:00:00,794.32,11.148
2024-09-02 20:30:00,794.44,11.528
2024-09-02 21:00:00,794.53,11.886
2024-09-02 21:30:00,794.49,12.178
2024-09-02 22:00:00,794.53,12.42
2024-09-02 22:30:00,794.57,12.66
2024-09-02 23:00:00,794.53,12.803
2024-09-02 23:30:00,794.37,12.877
2024-09-03 00:00:00,794.34,12.938
2024-09-03 00:30:00,794.26,12.998
2024-09-03 01:00:00,794.17,12.976
2024-09-03 01:30:00,794.05,12.938
2024-09-03 02:00:00,793.88,12.856
2024-09-03 02:30:00,793.73,12.74
2024-09-03 03:00:00,793.64,12.62
2024-09-03 03:30:00,793.62,12.501
2024-09-03 04:00:00,793.69,12.361
2024-09-03 04:30:00,793.74,12.256
2024-09-03 05:00:00,793.79,12.13
2024-09-03 05:30:00,793.87,12.008
2024-09-03 06:00:00,793.72,11.89
2024-09-03 06:30:00,793.66,11.752
2024-09-03 07:00:00,793.7,11.633
2024-09-03 07:30:00,793.57,11.498
2024-09-03 08:00:00,793.43,11.369
2024-09-03 08:30:00,793.33,11.244
2024-09-03 09:00:00,793.19,11.134
2024-09-03 09:30:00,793.17,10.999
2024-09-03 10:00:00,793.21,10.889
2024-09-03 10:30:00,793.19,10.769
2024-09-03 11:00:00,793.2,10.672
2024-09-03 11:30:00,793.15,10.563
2024-09-03 12:00:00,793.18,10.448
2024-09-03 12:30:00,793.26,10.346
2024-09-03 13:00:00,793.38,10.219
2024-09-03 13:30:00,793.5,10.115
2024-09-03 14:00:00,793.68,9.99
2024-09-03 14:30:00,793.68,9.887
2024-09-03 15:00:00,793.85,9.799
2024-09-03 15:30:00,793.87,9.714
2024-09-03 16:00:00,793.89,9.66
2024-09-03 16:30:00,794.09,9.627
2024-09-03 17:00:00,794.2,9.641
2024-09-03 17:30:00,794.37,9.713
2024-09-03 18:00:00,794.27,9.675
2024-09-03 18:30:00,794.19,9.67
2024-09-03 19:00:00,794.92,10.015
2024-09-03 19:30:00,795.1,10.396
2024-09-03 20:00:00,795.21,10.802
2024-09-03 20:30:00,795.28,11.205
2024-09-03 21:00:00,795.31,11.705
2024-09-03 21:30:00,795.28,12.272
2024-09-03 22:00:00,795.28,12.8
2024-09-03 22:30:00,795.38,13.274
2024-09-03 23:00:00,795.39,13.633
2024-09-03 23:30:00,795.45,13.816
2024-09-04 00:00:00,795.35,13.844
2024-09-04 00:30:00,795.28,13.787
2024-09-04 01:00:00,795.23,13.717
2024-09-04 01:30:00,794.96,13.578
2024-09-04 02:00:00,794.75,13.446
2024-09-04 02:30:00,794.66,13.307
2024-09-04 03:00:00,794.63,13.134
2024-09-04 03:30:00,794.61,12.986
2024-09-04 04:00:00,794.72,12.833
2024-09-04 04:30:00,794.81,12.672
2024-09-04 05:00:00,794.76,12.506
2024-09-04 05:30:00,794.63,12.341
2024-09-04 06:00:00,794.69,12.191
2024-09-04 06:30:00,794.73,12.033
2024-09-04 07:00:00,794.72,11.88
2024-09-04 07:30:00,794.6,11.718
2024-09-04 08:00:00,794.62,11.581
